strategy,block,sample,artifact,prefill_tps,decode_tps,ttft_ms,tpot_ms,e2e_ms,cpu_busy_fraction,cpu_psi_some_fraction,completion_tokens,load_workers,load,sweep_artifact
packed-cpu-fixed,1,4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720/runs/02-compute12,122.31682982438721,1.8145711849722215,8551.562376998845,551.0943898380646,338657.5826519984,0.9995201655945444,0.056523703987031736,600,12,compute12,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720
packed-cpu-fixed,1,5,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720/runs/02-compute12,129.8679299329426,2.1091859275849343,8062.0365670001775,474.116571195325,292057.929134,0.9991439851258855,0.058688124094211855,600,12,compute12,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720
igpu-fixed,1,1,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720/runs/02-compute12,102.93180305297506,18.623316046060776,10162.068174999946,53.69613003005022,42326.119662,0.7020473372781065,0.01630447443497286,600,12,compute12,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720
igpu-fixed,1,2,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720/runs/02-compute12,103.25414770968695,18.61696291995882,10130.343653999944,53.714454086811486,42305.37245599998,0.6972183736544815,0.022751267095770182,600,12,compute12,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720
igpu-fixed,1,3,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720/runs/02-compute12,103.35263570618609,18.755589652414585,10130.36574099999,53.317438616026685,42067.584183000006,0.6981015221171483,0.02236217914540609,600,12,compute12,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720
igpu-fixed,1,4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720/runs/02-compute12,103.26571370928279,18.666042708038205,10129.209032000063,53.5732193288815,42219.635255000074,0.6998623112714841,0.01820885178858507,600,12,compute12,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720
igpu-fixed,1,5,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720/runs/02-compute12,103.56684003191278,18.70486812717384,10109.413395999924,53.46201818697838,42133.229941999954,0.6972745433789954,0.023538850259976016,600,12,compute12,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720
dynamic,1,1,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720/runs/04-compute16,92.24356804968237,21.379566188118478,11339.544014999774,46.77363381469087,39357.01542499919,0.9184992050874404,0.07451383054639935,600,16,compute16,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720
dynamic,1,2,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720/runs/04-compute16,100.12126506718008,12.607623334870842,10447.331036999458,79.31709041736251,57958.335217999775,0.947650172254505,0.14054241642747084,600,16,compute16,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720
dynamic,1,3,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720/runs/04-compute16,101.86963851001744,21.503938499665207,10277.841516999615,46.50310918697842,38133.271970999886,0.915704084847212,0.06864478621621324,600,16,compute16,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720
dynamic,1,4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720/runs/04-compute16,98.87227494991332,21.396410524989975,10579.305478000606,46.73681124373868,38574.724775000504,0.9160048790615593,0.07059602524982195,600,16,compute16,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720
dynamic,1,5,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720/runs/04-compute16,96.9796420920717,21.424597863640464,10796.080264000011,46.675321813021895,38754.66738200066,0.9166332975961352,0.0728046540587913,600,16,compute16,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720
packed-cpu-fixed,1,1,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720/runs/04-compute16,93.63262119273752,1.4690807009765963,11171.320280000145,680.6977991986643,418909.40414299985,0.9986190318183663,0.2485249695327468,600,16,compute16,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720
packed-cpu-fixed,1,2,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720/runs/04-compute16,91.47490767851272,1.4440078704925925,11434.82979699911,692.5170010734577,426252.57131800026,0.9997067489959086,0.24938336118451662,600,16,compute16,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720
packed-cpu-fixed,1,3,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720/runs/04-compute16,87.6266170312467,1.3944924922476332,11948.424296999292,717.1067650484134,441495.4720369988,0.9995050912183703,0.24884411470176337,600,16,compute16,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720
packed-cpu-fixed,1,4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720/runs/04-compute16,91.09194855886953,1.4695001134281747,11482.902896999803,680.5035201168614,419104.6237739993,0.9995335292271975,0.24946624894210712,600,16,compute16,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720
packed-cpu-fixed,1,5,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720/runs/04-compute16,90.6120755480621,1.4286989943549069,11554.751325000325,699.9374983472462,430817.3765430001,0.9993616831139651,0.2498899395627052,600,16,compute16,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720
igpu-fixed,1,1,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720/runs/04-compute16,100.67270965597638,18.941087425517456,10390.104761999964,52.795279253755986,42014.545344,0.8949075343690756,0.023285097955506016,600,16,compute16,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720
igpu-fixed,1,2,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720/runs/04-compute16,102.29975962412368,18.892189763473432,10224.852959999907,52.931926500834834,41931.16404299985,0.894485988006785,0.0227730337436456,600,16,compute16,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720
igpu-fixed,1,3,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720/runs/04-compute16,101.94230539123022,18.809364201384668,10270.515229000011,53.16500809348909,42116.422328,0.8978188996979283,0.023977787992673125,600,16,compute16,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720
igpu-fixed,1,4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720/runs/04-compute16,99.3043382684677,18.948710151297266,10533.275969999977,52.77404066110209,42144.99046000015,0.8920570022701071,0.026291705709609845,600,16,compute16,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720
